year,sex,age_type,district_number,LE,HALE,LE-HALE
2019,male,0,1,70.6242624193049,64.9145823886456,5.7096800306593
2019,male,0,2,70.6280143527716,64.8532546807406,5.774759672030996
2019,male,0,3,70.9505757215286,65.1114237822083,5.839151939320288
2019,male,0,4,72.4229667110414,66.7789952068848,5.643971504156596
2019,male,0,5,72.1411102062109,66.571609871865,5.5695003343459035
2019,male,0,6,72.2261448644678,66.6161938801136,5.6099509843541995
2019,male,0,7,70.0610295584201,63.8498780141587,6.211151544261405
2019,male,0,8,70.6661727203041,64.2948896841563,6.371283036147801
2019,male,0,9,71.496511895279,64.8800235661055,6.616488329173492
2019,male,0,10,71.4883025753716,64.9287314305733,6.559571144798312
2019,male,0,11,73.3107414246723,66.967598478037,6.343142946635297
2019,male,0,12,72.3688993359802,66.1804036942174,6.188495641762799
2019,male,0,13,76.49710005468,70.3086520954443,6.1884479592357025
2019,female,0,1,78.497198664197,69.7890788603241,8.708119803872904
2019,female,0,2,78.4410483514689,69.6508548665305,8.7901934849384
2019,female,0,3,78.5168747093668,69.7018631642485,8.81501154511831
2019,female,0,4,79.481158777185,70.9640043036194,8.517154473565597
2019,female,0,5,79.6007115493249,71.0169731414532,8.583738407871692
2019,female,0,6,79.7794903206425,71.1218608697112,8.657629450931296
2019,female,0,7,77.9113264224646,69.1544763301984,8.756850092266191
2019,female,0,8,77.9397462020835,69.1336214578191,8.806124744264395
2019,female,0,9,79.2004632476464,69.981775219501,9.218688028145394
2019,female,0,10,78.5272059924433,69.534572492666,8.992633499777298
2019,female,0,11,81.2016306682254,71.6060880632853,9.595542604940107
2019,female,0,12,80.146127445758,70.7978217970413,9.348305648716703
2019,female,0,13,83.0950574285054,72.9232284905464,10.171828937958992
2019,male,60,1,19.64931419,15.48657154,4.162742649999998
2019,male,60,2,20.02197094,15.72402785,4.297943089999999
2019,male,60,3,20.18910571,15.83313741,4.355968299999999
2019,male,60,4,20.97697083,16.70933409,4.26763674
2019,male,60,5,20.6128435,16.44540518,4.167438319999999
2019,male,60,6,20.85616992,16.61577546,4.240394460000001
2019,male,60,7,19.28828264,14.66186399,4.626418649999998
2019,male,60,8,19.57944637,14.84957657,4.7298697999999995
2019,male,60,9,20.64219851,15.59051097,5.05168754
2019,male,60,10,20.14179401,15.25357401,4.888220000000002
2019,male,60,11,21.24206055,17.09384196,4.148218590000003
2019,male,60,12,20.82340013,16.76465122,4.0587489099999985
2019,male,60,13,23.2426601865229,18.4742930214794,4.7683671650435
2019,female,60,1,22.6308748925684,16.6584200963981,5.9724547961703
2019,female,60,2,23.1565135044843,16.9928244987974,6.163689005686898
2019,female,60,3,23.3422368975064,17.1133977771127,6.228839120393701
2019,female,60,4,23.9661115528385,17.2942910302955,6.671820522542998
2019,female,60,5,24.2091068133369,17.4466449676316,6.7624618457053
2019,female,60,6,24.4020246202308,17.5557095696037,6.846315050627101
2019,female,60,7,22.0548934862627,16.0608061709134,5.994087315349301
2019,female,60,8,22.2856107232635,16.1965278430666,6.089082880196898
2019,female,60,9,23.5482921654274,17.027377038016,6.520915127411403
2019,female,60,10,22.8363211343416,16.5622607238893,6.2740604104523
2019,female,60,11,25.6200685736201,18.818985050499,6.8010835231211
2019,female,60,12,25.0251201109418,18.4037201030112,6.6214000079306
2019,female,60,13,26.7642978312871,19.1809214773981,7.583376353888998
2020,male,0,1,71.3206147626635,64.960498454475,6.360116308188495
2020,male,0,2,71.2393553690437,64.8595616875617,6.379793681481999
2020,male,0,3,71.5740210459269,65.1384002047814,6.435620841145493
